,name,bar_code,packaging,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,quantity,categories,labels,markets,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,nova_score,traceability_code,additives,generic_name,manufacturing,link,ingredients_origins,palm_ingredients,brand_owner,producer_info,origin_detail
1422,Crunchy muesli stevia - Delhaize - 300gr,5400113609483,,['Delhaize'],"['Belgique', 'France']","[""flocons d'avoine complets 52,6% fibres alimentaires "", 'polydextrose', 'dextrine résistante', 'inuline', 'croustillant de son 8,6% ', 'son de blé', 'farine de blé', 'farine de riz', ""son d'avoine"", 'morceaux de pomme séchée 6% [pomme', ""correcteur d'acidité "", 'acide citrique', 'antioxydant ', 'sulfite', ']', 'huile de tournesol non hydrogéné', 'bâtonnets de son ', 'son de blé', 'dattes', 'raisins', ""son d'avoine"", 'édulcorants ', 'isomalt', 'glycoside de stéviol', ""farine d'avoine complète"", 'noix de coco râpée', 'arôme', 'sel', 'arôme naturel', 'antioxydant ', 'extrait riche en tocophérols']",[],?,389,1628 kj(389 kcal),"10,8","1,9","54,1","5,8","10,1","0,23","0,092",B,300gr,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Nutriscore', 'Nutriscore A']",['Delhaize'],10.8 g,en quantité modérée,1.9 g,en quantité modérée,5.8 g,en quantité modérée,0.23 g,en faible quantité,,-6%,-6%,-18%,-43%,-11%,-66%,+3%,+32%,+32%,-3,-161%,A,-161%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['Gluten', 'Anhydride sulfureux et sulfites']",4,['FSC-C104258'],"['E1200 - Polydextrose', 'E1400 - Dextrines', 'E330 - Acide citrique', 'E953 - Isomalt', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E306 - Extrait riche en tocophérols']",,,,,,,,
1423,3401540380633,3401540380633,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1424,Mirabelle et noisettes Chocolat noir - Poulain - 180g (6x 2carrés (30g)),3664346312509,"['étui carton recyclable', 'film métal recyclable']",['Poulain'],['France'],"['Sucre', 'pâte de cacao', 'noisettes ', '14 %', 'beurre de cacao', 'cacao maigre en poudre', 'beurre concentré', 'purée de mirabelle ', '0,9 %', 'jus de citron à base de concentré', 'émulsifiant ', 'lécithine de soja', ""fibres d'avoine"", 'arôme', 'gélifiant ', 'pectine', 'arôme naturel', 'concentrés végétaux ', 'potiron', 'pomme', 'lait écrémé en poudre', 'Cacao: 47 % minimum', 'Peut contenir blé', 'orge et autres fruits à coque']",['Non végétalien'],?,527,2205 kj(527 kcal),33,16,49,46,"5,9","0,01","0,004",,180 g (6 x 2 carrés (30g)),"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Chocolats']",['Fabriqué en France'],['Casino'],33 g,en quantité élevée,16 g,en quantité élevée,46 g,en quantité élevée,0.01 g,en faible quantité,,+1%,+1%,+9%,-3%,-9%,-2%,-4%,-95%,-95%,21,-14%,E,-14%,,,,,,,,"['Lait', 'Fruits à coque', 'Soja']",4,,"['E322i - Lécithine', 'E440 - Pectines']",,['France'],,['France'],,,,
1425,Galette st Michel,3178530418163,,['St Michel'],['France'],[],[],?,472,1975 kj(472 kcal),16,11,74,25,7,"0,9","0,36",,,,"['Plein air', 'Œufs de poules élevées en plein air', 'Fabriqué en France']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1426,Pâte à tartiner - Gü - 200g,5060425283872,['Verre'],['Gü'],['France'],"['Noisettes ', '29%', 'sucre', 'huile de tournesol', 'lactose ', 'lait', 'éclats de noisettes grillées ', '8,9%', 'cacao maigre en poudre ', '4,5%', 'beurre de cacao', 'huile de coco', ' huile de karité', 'sel', 'émulsifiant : lécithines de tournesol']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",2558,616,2558 kj(616 kcal),47,"6,9",41,37,"6,4","0,1","0,04",D,200g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']","['en:gluten-free', 'en:palm-oil-free']",,47 g,en quantité élevée,6.9 g,en quantité élevée,37 g,en quantité élevée,0.1 g,en faible quantité,+13%,+12%,+11%,+38%,-10%,-20%,-22%,-6%,-3%,-3%,17,-18%,D,-18%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,"['Lait', 'Fruits à coque']",4,,['E322i - Lécithine'],,['Allemagne'],,,,,,
1427,Raisins secs sultanines - Auchan - 200g,8435177057816,,['Auchan'],['France'],[],[],?,322,1347 kj(322 kcal),"0,5","0,1",74,64,"2,8","0,05","0,02",D,200 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Raisins secs', 'Raisins secs Sultanines']","['Nutriscore', 'Nutriscore C']",['Auchan'],0.5 g,en faible quantité,0.1 g,en faible quantité,64 g,en quantité élevée,0.05 g,en faible quantité,,+4%,+4%,-10%,-24%,+4%,+1%,-0%,-13%,-13%,8,+54%,C,+54%,37.4%,55.6%,3.3%,1.3%,2.3%,0.0%,44,,,,,,,,,,,,
1428,Veggie bouchées panées - Carrefour - 200g,3560071223106,['barquette plastique'],['Carrefour'],['France'],"['Eau', 'boulgour précuit 14% ', 'eau', 'blé dur concassé', 'chapelure 13% ', 'farine de blé', 'graines de potiron 1%', 'graines de lin 1 %', 'graines de tournesol 0,7%', 'graines de millet 0,4%', 'graines de pavot 0,4%', 'levure', 'sel', 'potimarron 9,6%', 'carottes jaunes', 'fromage de chèvre 6,7%', 'oignons préfrits ', 'oignons', 'huile de tournesol', 'figues séchées 5,4% ', 'figues', 'farine de riz', 'protéines de pois texturées et déshydratées', 'farine de blé', ""flocons d'avoine huile d'olive vierge extra"", ""blanc d'oeuf en poudre"", 'amidon de mais', ""vinaigre d'alcool"", 'ciboulette', 'ail déshydraté', 'sel', ' Huile de friture: huiles de tournesol et de colza', ' LABE VÉGETA Fabriqué dans un atelier utilisant : mollusques', 'poissons', 'céleri et soja', ' AR: Apports Référence po un adulte-typ ', '8400 kJ/200 par jour', ' Ce produit co Nutrition-Valeurs 100 g %AR moyennes pour:']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,281,1176 kj(281 kcal),16,"2,6",24,"3,6","9,3","0,62","0,248",,200g,['Préparation panée'],['V label EU european vegetarian union'],['Carrefour'],16 g,en quantité modérée,2.6 g,en quantité modérée,3.6 g,en faible quantité,0.62 g,en quantité modérée,,,,,,,,,,,-1,,A,,,,,,,,,"['Gluten', 'Lait']",3,['56 094 C'],,,,,,,,,
1429,Paëlla royale - toque du chef - 940,20295943,['boîte métal à recycler'],['toque du chef'],['France'],[],[],?,101,423 kj(101 kcal),"1,6","0,5",15,"1,5","6,2","1,1","0,44",,940,"['Conserves', 'Plats préparés', 'Plats préparés en conserve']","['Nutriscore', 'Nutriscore B']",,1.6 g,en faible quantité,0.5 g,en faible quantité,1.5 g,en faible quantité,1.1 g,en quantité modérée,,-6%,-5%,-66%,-66%,+93%,-5%,+1%,+22%,+22%,2,+77%,B,+77%,,,,,,,,,,,,,,,,,,,
1430,"Bouchées panées avocat, haricots rouges, Cheddar - Carrefour - 200g",3560071222253,['200gr'],['Carrefour'],['France'],"['Boulgour précuit 18% ', ' eau ', 'blé dur concassé', 'avocat 13% ', 'avocat', 'antioxydant acide ascorbique', 'acidifiant : acide citrique', 'chapelure 13 % ', 'farine de blé', 'farine de maïs', 'huile de tournesol', 'poivre noir', 'levure', 'sel', 'paprika', 'haricots rouges cuits 9,9% ', 'eau', 'haricots rouges', 'eau', 'cheddar 7% ', 'lait', 'sel', 'ferments lactiques', 'enzyme coagulante', 'colorants : rocou et caroténoides', 'oignons', 'poivrons rouges', 'purée de tomate double concentrée', 'farine de blé', 'poivrons jaunes', 'gluten de blé', 'amidon de mais', ""blanc d'oeuf en poudre"", ""vinaigre d'alcool"", 'cumin', 'ail déshydraté', 'sel', 'piment fort fumé en poudre 0,07% Huile de friture : huiles de tournesol et de colza', ' Fabriqué dans un atelier utilisant céleri', 'lupin', 'mollusques', 'poissons et soja']","['Non végétalien', 'Végétarien']",?,258,1079 kj(258 kcal),13,"2,8",25,"2,6","8,9","0,57","0,228",,200g,['Bouchées panées'],['Végétarien'],['Carrefour'],13 g,en quantité modérée,2.8 g,en quantité modérée,2.6 g,en faible quantité,0.57 g,en quantité modérée,,,,,,,,,,,-1,,A,,,,,,,,,"['Gluten', 'Lait']",4,"['EMB 56094C', 'Kervignac (Morbihan, France)']","['E300 - Acide ascorbique', 'E330 - Acide citrique', 'E160b - Rocou', 'E160 - Caroténoïdes']",,,,,,,,
1431,Veggie - Carrefour,3560071222468,,['Carrefour'],['France'],[],[],?,132,552 kj(132 kcal),"6,5","2,1",12,"2,9","4,9","0,46","0,184",,,,,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 29188A', 'Plougasnou (Finistère, France)']",,,,,,,,,
1432,Kelly‘s Chips Classic - 150g,9000159198000,"['Stück', 'Stück', 'stück', 'stück', 'Stück', 'Stück', 'Stück', 'Stück']","[""Kelly's""]","['Autriche', 'France']",[],[],2172,521,2172 kj(521 kcal),33,3,49,"0,6","5,7","1,5","0,6",,150 g,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Plats préparés', 'Chips', 'Entrées']",,,33 g,en quantité élevée,3 g,en quantité modérée,0.6 g,en faible quantité,1.5 g,en quantité modérée,+101%,+124%,+130%,+160%,+31%,+149%,-79%,+13%,+40%,+40%,10,+67%,C,+67%,,,,,,,,,,,,,,,,,,,
1433,Monsavon Savon L'Authentique - 1x 100g (1pièces),3181730201480,,['Monsavon'],['France'],[],[],?,?,,?,,?,,?,,,,1 x 100 g (1 pièces),"['Non alimentaire', 'Open Beauty Facts']",['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savon,,,,,,,
1434,California raspberry - The GUTsy captain company - 1l,5600787049138,"['Plastic', 'Pet']",['The GUTsy captain company'],['France'],"['Water filtered by reverse osmosis', 'organic cane sugar', 'kombucha culture', 'organic stevia tea extract ', 'water', 'organic stevia leaves', 'organic green tea', 'natural raspberry flavour 0', '14%', 'organic extracts ', 'carrot', 'apple', 'blackcurrant', 'bacillus coagulans']","['Végétalien', 'Végétarien']",?,18,75 kj(18 kcal),0,0,"4,4","4,4",0,0,0,B,1 l,"['Boissons', 'Boissons au thé', 'Kombuchas']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'PT-BIO-05']",,0 g,en faible quantité,0 g,en faible quantité,4.4 g,en quantité modérée,0 g,en faible quantité,,0%,0%,-100%,-100%,+15%,+28%,-100%,-100%,-100%,6,+5%,D,+5%,45.5%,1.5%,24.0%,16.3%,10.0%,2.7%,68,,,,,,['Portugal'],,,,,,
1435,Tajine de poulet citron et olive - Thiriet - 330g,3292590877361,,['Thiriet'],['France'],[],[],?,112,469 kj(112 kcal),"2,2","0,4",14,"1,9","8,3","0,66","0,264",D,330 g,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de semoule', 'Plats à la volaille', 'Plats au poulet']",,['Thiriet'],2.2 g,en faible quantité,0.4 g,en faible quantité,1.9 g,en faible quantité,0.66 g,en quantité modérée,,-30%,-29%,-59%,-60%,-26%,-35%,+35%,-21%,-21%,-3,-388%,A,-388%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,,,,,,,,,,,,
1436,Anti transpirant - NARTA - 50ml,3600550964738,['Flacon'],['NARTA'],['France'],"['AQUA/WATER', 'ALCOHOL DENAT', 'ALUMINUM CHLOROHYDRATE PARFUM/FRAGRANCE', 'PPG-26-BUTETH-26', 'PEG-40 HYDROGENATED CASTOR OIL', 'LINALOOL GERANIOL', 'LIMONENE', 'HYDROXYETHYLCELLULOSE', 'CITRONELLOL', 'HEXYL CINNAMAL', 'BENZYL ALICYLATE', 'BENZYL ALCOHOL ', 'FL', 'L', 'C216972/1', "" 14S1 03 SCAD TSA 75000 93584 ST OUEN CEDEX FR ntre Conseils Consommateurs rue d'Alsace-9230O Levallois-Perret FRANCE""]",[],?,?,,?,,?,,?,,,,50 ml,"['Non alimentaire', 'Open Beauty Facts']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E173 - Aluminium', 'E1519 - Alcool benzylique']",,,,,,,,
1437,Puree d'amandes - Mandy's,3760278560190,,"[""Mandy's""]",['France'],[],[],?,601,2515 kj(601 kcal),52,"3,9","6,7","4,9",21,"0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,52 g,en quantité élevée,3.9 g,en quantité modérée,4.9 g,en faible quantité,0.01 g,en faible quantité,,-5%,-5%,-4%,-13%,-21%,-1%,-4%,-40%,-40%,11,+186%,D,+186%,,,,,,,,,,,,,,,,,,,
1438,Yoghourt artesanal desnatado con stevia - Pastoret - 500g,8424790100245,,['Pastoret'],"['France', 'Espagne']",[],[],?,46,192 kj(46 kcal),"0,1","0,1","5,8","3,3","5,5","0,2","0,08",,500 g,"['en:Produits fermentés', 'en:Produits laitiers', 'en:Produits laitiers fermentés', 'en:Yaourts', 'en:Yaourts nature']",['Avec édulcorants'],,0.1 g,en faible quantité,0.1 g,en faible quantité,3.3 g,en faible quantité,0.2 g,en faible quantité,,-47%,-46%,-97%,-95%,-43%,-65%,+64%,+122%,+122%,-3,-215%,A,-215%,,,,,,,,,,,,,,,,,,,
1439,dès de jambon - tradilege - 150,05015113,['Barquette'],['Tradilege'],['France'],"['Jambon de porc 85 % ', 'origine France', 'eau', 'sel', 'sirop de glucose', 'stabilisant: E450', 'arómes naturels', 'antioxydants : E301-E316', 'dextrose', 'conservateur: E250', 'bouillon ', 'eau', 'os et viande de porc', ' Traces de lait et soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,120,502 kj(120 kcal),"2,5","0,9","1,4","1,4",23,"1,8","0,72",C,150,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Dés de jambon']","['Viande Française', 'Viande Porcine Française']",['Leclerc'],2.5 g,en faible quantité,0.9 g,en faible quantité,1.4 g,en faible quantité,1.8 g,en quantité élevée,,-10%,-9%,-52%,-54%,+5%,+17%,+22%,-14%,-14%,3,-63%,C,-63%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,4,['92757158'],"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium', 'E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,['le mené'],,['France'],,,,
1440,Noisettes décortiquées - Auchan,8435177059933,,['Auchan'],['France'],[],[],?,668,2795 kj(668 kcal),62,"4,6","7,8","3,8",16,"0,1","0,04",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noisettes', 'Fruits à coques décortiqués', 'Noisettes décortiquées']","['Nutriscore', 'Nutriscore B']",['Auchan'],62 g,en quantité élevée,4.6 g,en quantité modérée,3.8 g,en faible quantité,0.1 g,en faible quantité,,-1%,-1%,-1%,-6%,-16%,-6%,+5%,+222%,+222%,-3,-600%,A,-600%,92.4%,1.7%,0.0%,3.6%,2.2%,0.0%,45,,,,,,,,,,,,
1441,Ensaladilla rusa - Carretilla,8410416004400,,['Carretilla'],"['France', 'Espagne']",[],[],?,218,912 kj(218 kcal),"19,1",2,"7,3","1,2","3,6","0,9","0,36",,,"['Plats préparés', 'Salades', 'Salades composées']",,,19.1 g,en quantité modérée,2 g,en quantité modérée,1.2 g,en faible quantité,0.9 g,en quantité modérée,,+43%,+44%,+113%,+48%,-28%,-47%,-35%,+2%,+2%,4,+163%,C,+163%,,,,,,,,,,,,,,,,,,,
1442,YES ! Barre chocolat noir banane et pécan,7613036926362,,['Yes'],"['France', 'Espagne']",[],[],?,491,2054 kj(491 kcal),"31,9","6,9","27,5","18,5","16,5","0,44","0,176",,,"['Snacks', 'Snacks sucrés', 'Barres']",['Sans gluten'],,31.9 g,en quantité élevée,6.9 g,en quantité élevée,18.5 g,en quantité élevée,0.44 g,en quantité modérée,,+9%,+9%,+56%,-22%,-50%,-46%,+97%,+28%,+28%,12,-30%,D,-30%,,,,,,,,,,,,,,,,,,,
1443,Danao pomme fruits exotiques,3661505086646,['Bouteille'],['Danao'],['France'],"['Jus de fruits à base de concentrés 74,3% ', 'pomme 63,3%', 'orange 8,3%', 'fruit de la passion 1', '9%', 'ananas 0', '4%', 'abricot 0,1%', 'banane 0,1%', 'mangue 0,1%', 'citron 0,1%', 'lait écrémé 16%', 'eau', 'stabilisant:pectine de fruit', 'vitamines: C et E', 'arômes naturels', 'acidifiant: acide citrique', 'colorant: carotènes']","['Sans huile de palme', 'Non végétalien']",?,39,163 kj(39 kcal),"0,1",0,"8,5","8,2","0,8",0,0,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Produits laitiers', 'Boissons à base de végétaux', 'Boissons lactées', 'Boissons aux fruits', 'Boissons au lait et au jus de fruits']",['Sans sucre ajouté'],,0.1 g,en faible quantité,0 g,en faible quantité,8.2 g,en quantité élevée,0 g,en faible quantité,,-9%,-12%,+131%,-100%,-14%,-12%,+25%,-100%,-100%,8,-35%,D,-35%,56.0%,3.7%,13.8%,19.1%,5.7%,1.6%,49,['Lait'],4,,"['E440 - Pectines', 'E330 - Acide citrique', 'E160 - Caroténoïdes']",,,https://www.danao.fr/,,,,,
1444,Cacahouète - Auchan - 150g,8435177059902,['Sachet'],['Auchan'],['France'],[],[],?,617,2582 kj(617 kcal),51,"8,1","6,4","6,1",27,1,"0,4",,150 g,,"['Nutriscore', 'Nutriscore C']",['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1445,Galettes de riz - Alnatura - 100g,4104420217973,['Tüte'],['Alnatura'],"['France', 'Allemagne']","['Riz', 'sel marin']",[],1650,389,1650 kj(389 kcal),3,"0,6",81,"0,9","7,9","0,3","0,12",B,100 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']","['Bio', 'Sans gluten', 'de:Bio 7 Initiative']",['Alnatura'],3 g,en quantité modérée,0.6 g,en faible quantité,0.9 g,en faible quantité,0.3 g,en quantité modérée,-12%,-10%,-9%,-75%,-91%,+14%,-93%,+7%,+65%,+65%,-2,-124%,A,-124%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,,,,,Reiswaffeln,,,,,,,
1446,Médaillons chocolat,4056489029427,,,['France'],[],[],?,575,2406 kj(575 kcal),"39,1","20,7","45,3","33,2","7,4","0,26","0,104",,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1447,Pains au lait - Maître Jean-Pierre - 480g (12pièces de 40g),4056489110378,['Sachet plastique transparent'],['Maître Jean-Pierre'],['France'],"['52,5% farine de blé', '11', '5% œufs* frais', 'Sucre', 'huile de colza', 'beurre ', 'lait', ' concentré', 'eau', 'sirop de sucre inverti', 'levure', 'poudre de lait écrémé', 'sel', 'levain de blé dévitalisé', 'protéines de pois', 'gluten de blé', 'arôme', ""émulsifiants : mono - et diglycérides d'acides gras"", 'stéaroyl-2-lactylate de sodium ', ' colorant : caroténoides ', ' agent de traitement de la farine : acide ascorbique', ' arôme naturel de vanille ', 'contient alcool', ' issu de poules élevées au sol', ' Traces éventuelles de fruits à coques']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",1577,375,1577 kj(375 kcal),13,5,55,14,9,"1,1","0,44",C,480 g (12 pièces de 40 g),"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au lait']",,['Lidl'],13 g,en quantité modérée,5 g,en quantité modérée,14 g,en quantité élevée,1.1 g,en quantité modérée,+7%,+7%,+7%,+14%,+19%,+4%,+5%,+5%,+8%,+8%,15,+13%,D,+13%,78.8%,12.6%,5.3%,2.8%,0.4%,0.0%,69,"['Œufs', 'Gluten', 'Lait']",4,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes', 'E300 - Acide ascorbique']",,,,,,,,
1448,Spaghetti - Barilla,8076809575553,,['Barilla'],"['France', 'Italie']",[],[],?,347,1452 kj(347 kcal),"2,5","0,5",64,"3,5",13,"0,013","0,005",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Spaghetti']",,,2.5 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,,-1%,-2%,+43%,+35%,-7%,+18%,+10%,-46%,-46%,-1,,A,,,,,,,,,,,,,,,,,,,,
1449,Minis Choco Brownie - Milka - 117g,7622210688552,"['Kunststoff', 'Karton', 'Plastiques', 'Etui en carton', 'Stück', 'Stück']","['Milka', 'Mondeléz']","['Autriche', 'France', 'Allemagne', 'Suisse']","['Sucre', 'oeufs', 'huile de palme', 'farine de blé', 'pâte de cacao', 'huile de colza', 'sirop de glucose', 'beurre de cacao', 'dextrose', 'humectant ', 'glycérol', 'sirop de sucre inverti', 'lait entier en poudre', 'émulsifiants ', 'E492', 'lécithines de soja', 'E476', 'E473', 'lactosérum en poudre ', 'de lait', 'lait écrémé en poudre', 'lait écrémé concentré sucré', 'cacao maigre en poudre', 'beurre pâtissier', 'arômes', 'conservateur ', 'sorbate de potassium', 'sel', 'amidon modifié', ""correcteurs d'acidité "", 'acide citrique', 'acide tartrique', 'gélifiant ', 'alginate de sodium', 'poudre à lever ', 'diphosphates', 'carbonates de sodium']","['Huile de palme', 'Non végétalien']",1964,471,1964 kj(471 kcal),29,12,48,38,"4,8","0,32","0,128",E,117 g,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Brownies']",['Point Vert'],['REWE'],29 g,en quantité élevée,12 g,en quantité élevée,38 g,en quantité élevée,0.32 g,en quantité modérée,+3%,+4%,+3%,+13%,+46%,0%,+11%,-19%,-16%,-16%,23,+20%,E,+20%,84.5%,9.8%,2.3%,2.2%,1.2%,0.0%,37,"['Œufs', 'Gluten', 'Lait', 'Soja']",4,,"['E422 - Glycérol', 'E492 - Tristéarate de sorbitane', '', 'Risque élevé de sur-exposition', ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E330 - Acide citrique', 'E334 - Acide L-tartrique', 'E401 - Alginate de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",Gâteau au chocolat,,,,,,,
1450,Extra - Kellog’s - 500g,5053827187435,,['Kellog’s'],"['France', 'Italie']","[""Fiocchi d'avena integrali"", '41%', 'Frutta disidratata', '25%', 'Uvetta', 'Cocco', 'Banana {Banana', 'Olio di cocco non idrogenato', 'Zucchero}', 'Mirtilli rossi {Mirtilli rossi', 'Zucchero', 'Olio di girasole non idrogenato}', 'Mela {Conservante anidride solforosa}', 'Zucchero', 'Olio di palma non idrogenato', 'Farina di frumento', 'Melassa', 'Sale', 'Estratto di malto ďorzo', ' Per gli allergeni vedi ingredienti in grassetto']",['Huile de palme'],?,471,1971 kj(471 kcal),21,11,62,27,"6,2","0,6","0,24",D,500 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales']",['Sans colorants'],,21 g,en quantité élevée,11 g,en quantité élevée,27 g,en quantité élevée,0.6 g,en quantité modérée,,+20%,+20%,+163%,+473%,-6%,+135%,-37%,+75%,+75%,17,+400%,D,+400%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,['Gluten'],3,,"['E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,
1451,Cheese Fondue - Milbona - 400g,4056489078173,"['Boite', 'Carton']",['Milbona'],"['République tchèque', 'France', 'Espagne']","['52% fromage suisse ', 'lait', '32% vin blanc', 'eau', 'amidon de maïs', '1,3% Kirsch', 'sels de fonte ', 'phosphates de sodium', 'polyphosphates', 'sel', 'épices']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",1030,247,1030 kj(247 kcal),16,10,4,0,16,"1,7","0,68",B,400 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages fondus']",,['Lidl'],16 g,en quantité modérée,10 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,-3%,-3%,-3%,-21%,-25%,-26%,-100%,+37%,-15%,-15%,14,-10%,D,-10%,79.5%,12.0%,2.9%,3.6%,1.6%,0.4%,49,['Lait'],4,['CH-2089'],"['E452 - Polyphosphates', '', 'Risque élevé de sur-exposition']",,,,['Suisse'],,,,
